763,87.82
drone\DronMovement\xVar,drone\DronMovement\yVar,drone\DronMovement\zVar
0.68,0.02,0.00
0.60,0.02,0.00
0.53,0.02,0.00
0.46,0.02,0.00
0.39,0.02,0.00
0.33,0.02,0.00
0.26,0.02,0.00
0.20,0.02,0.00
0.16,0.02,0.00
0.10,0.02,0.00
0.05,0.02,0.00
0.00,0.02,0.00
-0.05,0.02,0.00
-0.09,0.02,0.00
-0.13,0.02,0.00
-0.18,0.02,0.00
-0.22,0.02,0.00
-0.26,0.02,0.00
-0.30,0.02,0.00
-0.34,0.02,0.00
-0.37,0.02,0.00
-0.41,0.02,0.00
-0.44,0.02,0.00
-0.47,0.02,0.00
-0.49,0.02,0.00
-0.52,0.02,0.00
-0.55,0.02,0.00
-0.58,0.02,0.00
-0.61,0.02,0.00
-0.63,0.02,0.00
-0.66,0.02,0.00
-0.68,0.02,0.00
-0.70,0.02,0.00
-0.72,0.02,0.00
-0.74,0.02,0.00
-0.76,0.02,0.00
-0.78,0.02,0.00
-0.80,0.02,0.00
-0.82,0.02,0.00
-0.84,0.02,0.00
-0.86,0.02,0.00
-0.87,0.02,0.00
-0.89,0.02,0.00
-0.90,0.02,0.00
-0.91,0.02,0.00
-0.93,0.02,0.00
-0.94,0.02,0.00
-0.96,0.02,0.00
-0.97,0.02,0.00
-0.98,0.02,0.00
-1.00,0.02,0.00
-1.00,0.02,0.00
-1.02,0.02,0.00
-1.03,0.02,0.00
-1.04,0.02,0.00
-1.05,0.02,0.00
-1.06,0.02,0.00
-1.07,0.02,0.00
-1.08,0.02,0.00
-1.08,0.02,0.00
-1.09,0.02,0.00
-1.10,0.02,0.00
-1.11,0.02,0.00
-1.12,0.02,0.00
-1.12,0.02,0.00
-1.13,0.02,0.00
-1.14,0.02,0.00
-1.14,0.02,0.00
-1.15,0.02,0.00
-1.15,0.02,0.00
-1.16,0.02,0.00
-1.16,0.02,0.00
-1.17,0.02,0.00
-1.18,0.02,0.00
-1.18,0.02,0.00
-1.18,0.02,0.00
-1.19,0.02,0.00
-1.19,0.02,0.00
-1.20,0.02,0.00
-1.20,0.02,0.00
-1.21,0.02,0.00
-1.21,0.02,0.00
-1.21,0.02,0.00
-1.22,0.02,0.00
-1.22,0.02,0.00
-1.22,0.02,0.00
-1.23,0.02,0.00
-1.23,0.02,0.00
-1.23,0.02,0.00
-1.24,0.02,0.00
-1.24,0.02,0.00
-1.24,0.02,0.00
-1.25,0.02,0.00
-1.25,0.02,0.00
-1.25,0.02,0.00
-1.25,0.02,0.00
-1.26,0.02,0.00
-1.26,0.02,0.00
-1.26,0.02,0.00
-1.26,0.02,0.00
-1.27,0.02,0.00
-1.27,0.02,0.00
-1.27,0.02,-0.01
-1.28,0.02,-0.01
-1.28,0.02,-0.01
-1.29,0.02,-0.02
-1.29,0.02,-0.02
-1.30,0.02,-0.03
-1.31,0.02,-0.03
-1.32,0.02,-0.04
-1.32,0.02,-0.04
-1.33,0.02,-0.04
-1.34,0.02,-0.04
-1.35,0.02,-0.05
-1.36,0.02,-0.05
-1.36,0.02,-0.05
-1.37,0.02,-0.05
-1.38,0.02,-0.05
-1.39,0.02,-0.05
-1.40,0.02,-0.05
-1.40,0.02,-0.05
-1.41,0.02,-0.05
-1.42,0.02,-0.05
-1.42,0.02,-0.05
-1.43,0.02,-0.05
-1.43,0.02,-0.05
-1.44,0.02,-0.05
