1666,191.24
drone\DronMovement\xVar,drone\DronMovement\yVar,drone\DronMovement\zVar
1.27,-0.01,-0.01
1.27,-0.01,-0.01
1.26,-0.01,-0.01
1.26,-0.01,-0.01
1.25,-0.01,-0.01
1.25,-0.01,-0.01
1.25,-0.01,-0.01
1.24,-0.01,-0.01
1.24,-0.01,-0.01
1.24,-0.01,-0.01
1.23,-0.01,-0.01
1.23,-0.01,-0.01
1.23,-0.01,-0.01
1.22,-0.01,-0.01
1.22,-0.01,-0.01
1.22,-0.01,-0.01
1.21,-0.01,-0.01
1.21,-0.01,-0.01
1.21,-0.01,-0.01
1.20,-0.01,-0.01
1.20,-0.01,-0.01
1.20,-0.01,-0.01
1.20,-0.01,-0.01
1.19,-0.01,-0.01
1.19,-0.01,-0.01
1.19,-0.01,-0.01
1.18,-0.01,-0.01
1.18,-0.01,-0.01
1.18,-0.01,-0.01
1.18,-0.01,-0.01
1.17,-0.01,-0.01
1.17,-0.01,-0.01
1.17,-0.01,-0.01
1.17,-0.01,-0.01
1.16,-0.01,-0.01
1.16,-0.01,-0.01
1.16,-0.01,-0.01
1.16,-0.01,-0.01
1.15,-0.01,-0.01
1.15,-0.01,-0.01
1.15,-0.01,-0.01
1.15,-0.01,-0.01
1.14,-0.01,-0.01
1.14,-0.01,-0.01
1.14,0.00,-0.01
1.14,0.00,-0.01
1.13,0.00,-0.01
1.13,0.00,-0.01
1.13,0.00,-0.01
1.13,0.00,-0.01
1.13,0.00,-0.01
1.12,0.00,-0.01
1.12,0.00,-0.01
1.12,0.00,-0.01
1.12,0.00,-0.01
1.11,0.00,-0.01
1.11,0.00,-0.01
1.11,0.00,-0.01
1.11,0.00,-0.01
1.10,0.00,-0.01
1.10,0.00,-0.01
1.10,0.01,-0.01
1.10,0.01,-0.01
1.09,0.01,-0.01
1.09,0.01,-0.01
1.09,0.01,-0.01
1.09,0.01,-0.01
1.08,0.01,-0.01
1.08,0.01,-0.01
1.08,0.01,-0.01
1.08,0.01,-0.01
1.07,0.02,-0.01
1.07,0.02,-0.01
1.07,0.02,-0.01
1.07,0.02,-0.01
1.06,0.02,-0.01
1.06,0.02,-0.01
1.06,0.02,-0.01
1.06,0.02,-0.01
1.05,0.02,-0.01
1.05,0.02,-0.01
1.05,0.02,-0.01
1.05,0.02,-0.01
1.05,0.02,-0.01
1.04,0.02,-0.01
1.04,0.02,-0.01
1.04,0.02,-0.01
1.04,0.02,-0.01
1.03,0.02,-0.01
1.03,0.02,-0.01
1.03,0.02,-0.01
1.03,0.02,-0.01
1.03,0.02,-0.01
1.02,0.02,-0.01
1.02,0.02,-0.01
1.02,0.02,-0.01
1.02,0.02,-0.01
1.01,0.02,-0.01
1.01,0.02,-0.01
1.01,0.02,-0.01
1.01,0.02,-0.01
1.00,0.02,-0.01
1.00,0.02,-0.01
1.00,0.02,-0.01
1.00,0.02,-0.01
1.00,0.02,-0.01
0.99,0.02,-0.01
0.99,0.02,-0.01
0.99,0.02,-0.01
0.99,0.02,-0.01
0.98,0.02,-0.01
0.98,0.02,-0.01
0.98,0.02,-0.01
0.98,0.02,-0.01
0.97,0.02,-0.01
0.97,0.02,-0.01
0.97,0.02,-0.01
0.97,0.02,-0.01
0.97,0.02,-0.01
0.96,0.02,-0.01
0.96,0.02,-0.01
0.96,0.02,-0.01
0.96,0.02,-0.01
0.96,0.02,-0.01
0.95,0.02,-0.01
0.95,0.02,-0.01
0.95,0.02,-0.01
0.95,0.02,-0.01
0.94,0.02,-0.01
0.94,0.02,-0.01
0.94,0.02,-0.01
0.95,0.02,-0.01
0.97,0.02,-0.01
1.01,0.02,-0.02
1.07,0.02,-0.02
1.14,0.02,-0.02
1.23,0.02,-0.02
1.33,0.02,-0.02
1.45,0.02,-0.02
1.55,0.02,-0.02
1.68,0.02,-0.03
1.81,0.02,-0.03
1.95,0.02,-0.03
2.06,0.02,-0.03
2.21,0.02,-0.03
2.36,0.02,-0.03
2.50,0.02,-0.03
2.65,0.02,-0.03
2.85,0.02,-0.03
3.05,0.02,-0.03
3.27,0.02,-0.03
3.49,0.02,-0.03
3.71,0.02,-0.03
3.93,0.02,-0.03
4.15,0.02,-0.02
4.37,0.02,-0.02
4.55,0.02,-0.02
4.76,0.02,-0.02
4.97,0.02,-0.02
5.20,0.02,-0.03
5.43,0.02,-0.03
5.67,0.02,-0.03
5.93,0.02,-0.03
6.19,0.02,-0.03
6.46,0.02,-0.03
6.72,0.02,-0.03
6.94,0.02,-0.03
7.21,0.02,-0.03
7.47,0.02,-0.04
7.73,0.02,-0.03
7.95,0.02,-0.03
8.21,0.02,-0.03
8.44,0.02,-0.03
8.67,0.02,-0.03
8.95,0.02,-0.04
9.23,0.02,-0.04
9.52,0.02,-0.04
9.76,0.02,-0.04
10.05,0.02,-0.04
10.28,0.02,-0.04
10.56,0.02,-0.04
10.84,0.02,-0.03
11.12,0.02,-0.03
11.40,0.02,-0.03
11.68,0.02,-0.02
11.96,0.02,-0.02
12.25,0.02,-0.02
12.53,0.02,-0.01
12.81,0.02,-0.01
13.09,0.02,0.00
13.35,0.02,0.00
13.60,0.02,0.00
13.82,0.02,0.01
14.01,0.02,0.01
14.19,0.02,0.02
14.34,0.02,0.02
14.47,0.02,0.02
14.58,0.02,0.02
14.68,0.02,0.02
14.75,0.02,0.02
14.82,0.02,0.02
14.87,0.02,0.02
14.90,0.02,0.02
14.92,0.02,0.02
14.91,0.02,0.01
14.90,0.02,0.01
14.88,0.02,0.00
14.85,0.02,0.00
14.82,0.02,-0.01
14.79,0.02,-0.02
14.76,0.02,-0.03
14.74,0.02,-0.04
14.73,0.02,-0.04
14.73,0.02,-0.05
14.75,0.02,-0.06
14.77,0.02,-0.06
14.83,0.02,-0.07
14.91,0.02,-0.08
15.00,0.02,-0.08
15.13,0.02,-0.09
15.26,0.02,-0.09
15.41,0.02,-0.09
15.61,0.02,-0.10
15.79,0.02,-0.10
16.02,0.02,-0.10
16.22,0.02,-0.10
16.43,0.02,-0.11
16.64,0.02,-0.11
16.89,0.02,-0.11
17.10,0.02,-0.11
17.36,0.02,-0.11
17.60,0.02,-0.11
17.84,0.02,-0.11
18.05,0.02,-0.11
18.24,0.02,-0.11
18.40,0.02,-0.11
18.54,0.02,-0.10
18.66,0.02,-0.10
18.74,0.02,-0.10
18.82,0.02,-0.10
18.89,0.02,-0.10
18.95,0.02,-0.11
18.99,0.02,-0.11
19.02,0.02,-0.11
19.04,0.02,-0.11
19.05,0.02,-0.12
19.05,0.02,-0.12
19.04,0.02,-0.13
19.02,0.02,-0.13
19.01,0.02,-0.14
18.98,0.02,-0.14
18.95,0.02,-0.15
18.92,0.02,-0.15
18.88,0.02,-0.15
18.85,0.02,-0.16
18.81,0.02,-0.16
18.77,0.02,-0.16
18.74,0.02,-0.16
18.70,0.02,-0.16
18.67,0.02,-0.16
18.64,0.02,-0.16
18.61,0.02,-0.16
18.58,0.02,-0.16
18.56,0.02,-0.17
18.53,0.02,-0.17
18.50,0.02,-0.17
18.48,0.02,-0.17
18.45,0.02,-0.17
18.41,0.02,-0.18
18.38,0.02,-0.18
18.36,0.02,-0.19
18.35,0.02,-0.19
18.35,0.02,-0.19
18.38,0.02,-0.20
18.43,0.02,-0.20
18.51,0.02,-0.20
18.61,0.02,-0.21
18.75,0.02,-0.21
18.91,0.02,-0.21
19.11,0.02,-0.22
19.32,0.02,-0.22
19.51,0.02,-0.22
19.75,0.02,-0.22
19.95,0.02,-0.22
20.20,0.02,-0.22
20.41,0.02,-0.22
20.62,0.02,-0.23
20.85,0.02,-0.23
21.07,0.02,-0.22
21.26,0.02,-0.22
21.42,0.02,-0.22
21.55,0.02,-0.22
21.65,0.02,-0.22
21.71,0.02,-0.22
21.74,0.02,-0.22
21.73,0.02,-0.22
21.68,0.02,-0.21
21.59,0.02,-0.21
21.48,0.02,-0.21
21.34,0.02,-0.21
21.18,0.02,-0.21
21.01,0.02,-0.21
20.86,0.02,-0.21
20.70,0.02,-0.20
20.55,0.02,-0.20
20.36,0.02,-0.20
20.20,0.02,-0.20
20.02,0.02,-0.20
19.83,0.02,-0.20
19.68,0.02,-0.20
19.51,0.02,-0.20
19.33,0.02,-0.20
19.17,0.02,-0.20
18.98,0.02,-0.20
18.77,0.02,-0.20
18.54,0.02,-0.20
18.29,0.02,-0.20
18.08,0.02,-0.20
17.85,0.02,-0.20
17.62,0.02,-0.20
17.38,0.02,-0.20
17.09,0.02,-0.20
16.85,0.02,-0.20
16.61,0.02,-0.20
16.32,0.02,-0.21
16.09,0.02,-0.21
15.81,0.02,-0.21
15.54,0.02,-0.21
15.32,0.02,-0.21
15.07,0.02,-0.21
14.82,0.02,-0.21
14.57,0.02,-0.21
14.32,0.02,-0.21
14.06,0.02,-0.21
13.84,0.02,-0.20
13.57,0.02,-0.20
13.28,0.02,-0.20
12.98,0.02,-0.20
12.67,0.02,-0.20
12.36,0.02,-0.20
12.04,0.02,-0.19
11.73,0.02,-0.19
11.41,0.02,-0.19
11.10,0.02,-0.19
10.84,0.02,-0.19
10.53,0.02,-0.19
10.21,0.02,-0.19
9.88,0.02,-0.19
9.55,0.02,-0.19
9.22,0.02,-0.19
8.90,0.02,-0.19
8.63,0.02,-0.19
8.31,0.02,-0.19
8.05,0.02,-0.19
7.74,0.02,-0.19
7.43,0.02,-0.19
7.12,0.02,-0.19
6.81,0.02,-0.19
6.50,0.02,-0.19
6.18,0.02,-0.19
5.86,0.02,-0.19
5.53,0.02,-0.18
5.21,0.02,-0.18
4.88,0.02,-0.18
4.61,0.01,-0.18
4.29,0.01,-0.18
4.02,0.01,-0.18
3.71,0.01,-0.18
3.44,0.01,-0.18
3.18,0.01,-0.18
2.85,0.01,-0.18
2.52,0.01,-0.18
2.25,0.01,-0.18
1.97,0.01,-0.18
1.69,0.01,-0.18
1.37,0.01,-0.18
1.10,0.01,-0.18
0.78,0.01,-0.18
0.53,0.01,-0.18
0.23,0.01,-0.18
-0.06,0.01,-0.18
-0.30,0.01,-0.18
-0.57,0.01,-0.18
-0.79,0.01,-0.18
-1.01,0.01,-0.18
-1.23,0.01,-0.19
-1.44,0.01,-0.19
-1.69,0.01,-0.19
-1.93,0.01,-0.20
-2.17,0.01,-0.20
-2.41,0.01,-0.20
-2.60,0.01,-0.20
-2.79,0.01,-0.21
-3.01,0.01,-0.21
-3.18,0.01,-0.21
-3.36,0.01,-0.21
-3.56,0.01,-0.21
-3.75,0.01,-0.21
-3.93,0.01,-0.22
-4.11,0.01,-0.22
-4.26,0.01,-0.22
-4.42,0.01,-0.22
-4.59,0.01,-0.22
-4.75,0.01,-0.22
-4.90,0.01,-0.23
-5.04,0.01,-0.23
-5.18,0.01,-0.23
-5.32,0.01,-0.23
-5.45,0.01,-0.23
-5.57,0.01,-0.23
-5.67,0.01,-0.23
-5.78,0.01,-0.23
-5.87,0.01,-0.23
-5.96,0.01,-0.23
-6.05,0.01,-0.23
-6.12,0.01,-0.23
-6.20,0.01,-0.22
-6.26,0.01,-0.22
-6.30,0.01,-0.22
-6.34,0.01,-0.21
-6.35,0.01,-0.21
-6.35,0.01,-0.20
-6.34,0.01,-0.20
-6.30,0.01,-0.19
-6.26,0.01,-0.19
-6.19,0.01,-0.18
-6.11,0.01,-0.18
-6.03,0.01,-0.17
-5.95,0.01,-0.17
-5.89,0.01,-0.17
-5.83,0.01,-0.16
-5.78,0.01,-0.16
-5.75,0.01,-0.15
-5.73,0.01,-0.15
-5.72,0.01,-0.15
-5.72,0.01,-0.14
-5.72,0.01,-0.14
-5.74,0.01,-0.14
-5.75,0.01,-0.14
-5.77,0.01,-0.14
-5.80,0.01,-0.14
-5.83,0.01,-0.13
-5.85,0.01,-0.13
-5.88,0.01,-0.13
-5.89,0.01,-0.13
-5.91,0.01,-0.13
-5.91,0.01,-0.13
-5.91,0.01,-0.12
-5.91,0.01,-0.12
-5.89,0.01,-0.12
-5.86,0.01,-0.11
-5.81,0.01,-0.11
-5.74,0.01,-0.11
-5.67,0.01,-0.10
-5.57,0.01,-0.10
-5.47,0.01,-0.09
-5.36,0.01,-0.09
-5.24,0.01,-0.08
-5.14,0.01,-0.07
-5.06,0.01,-0.07
-4.99,0.01,-0.06
-4.94,0.01,-0.06
-4.89,0.01,-0.05
-4.86,0.01,-0.05
-4.84,0.01,-0.05
-4.83,0.01,-0.04
-4.84,0.01,-0.04
-4.85,0.01,-0.04
-4.87,0.01,-0.04
-4.89,0.01,-0.03
-4.92,0.01,-0.03
-4.95,0.01,-0.03
-4.98,0.01,-0.03
-5.01,0.01,-0.03
-5.05,0.01,-0.03
-5.08,0.01,-0.03
-5.11,0.01,-0.03
-5.14,0.01,-0.03
-5.18,0.01,-0.03
-5.20,0.01,-0.02
-5.22,0.01,-0.02
-5.23,0.01,-0.02
-5.22,0.01,-0.02
-5.20,0.01,-0.01
-5.17,0.01,-0.01
-5.12,0.01,0.00
-5.06,0.01,0.00
-4.99,0.01,0.00
-4.90,0.01,0.01
-4.79,0.01,0.01
-4.69,0.01,0.02
-4.59,0.01,0.02
-4.46,0.01,0.03
-4.35,0.01,0.03
-4.23,0.01,0.04
-4.13,0.01,0.04
-4.06,0.01,0.05
-4.00,0.01,0.05
-3.95,0.01,0.06
-3.92,0.01,0.06
-3.90,0.01,0.06
-3.89,0.01,0.07
-3.89,0.01,0.07
-3.90,0.01,0.07
-3.92,0.01,0.07
-3.95,0.01,0.07
-3.97,0.01,0.08
-4.00,0.01,0.08
-4.04,0.01,0.08
-4.07,0.01,0.08
-4.10,0.01,0.08
-4.14,0.01,0.08
