579,66.86
drone\EchoTest\xVar,drone\EchoTest\yVar,drone\EchoTest\zVar
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.00
360.00,360.00,0.14
360.00,360.00,0.54
360.00,360.00,0.96
360.00,360.00,1.41
360.00,360.00,2.26
360.00,360.00,2.91
360.00,360.00,3.31
360.00,360.00,3.70
360.00,360.00,4.15
360.00,360.00,4.67
360.00,360.00,5.45
360.00,360.00,5.95
360.00,360.00,7.54
360.00,360.00,7.54
360.00,360.00,8.98
360.00,360.00,10.69
360.00,360.00,11.70
360.00,360.00,12.44
360.00,360.00,12.44
360.00,360.00,13.71
360.00,360.00,14.45
360.00,360.00,14.69
360.00,360.00,14.78
360.00,360.00,14.79
360.00,360.00,14.56
360.00,360.00,14.56
360.00,360.00,14.05
360.00,360.00,13.53
360.00,360.00,12.98
360.00,360.00,28.26
360.00,360.00,44.12
360.00,360.00,58.45
360.00,360.00,82.83
360.00,360.00,99.90
360.00,360.00,113.55
360.00,360.00,129.50
360.00,360.00,138.46
360.00,360.00,153.24
360.00,360.00,162.76
360.00,360.00,162.76
360.00,360.00,181.84
360.00,360.00,181.84
360.00,360.00,190.12
360.00,360.00,198.22
360.00,360.00,211.51
360.00,360.00,217.85
360.00,360.00,217.85
360.00,360.00,217.85
360.00,360.00,235.36
360.00,360.00,235.36
360.00,360.00,244.90
360.00,360.00,251.16
360.00,360.00,251.16
360.00,360.00,257.44
360.00,360.00,257.44
360.00,360.00,257.44
360.00,360.00,267.15
360.00,360.00,272.14
360.00,360.00,276.24
360.00,360.00,281.45
360.00,360.00,281.45
360.00,360.00,287.59
360.00,360.00,287.59
360.00,360.00,293.70
360.00,360.00,296.45
360.00,360.00,299.03
360.00,360.00,303.30
360.00,360.00,306.13
360.00,360.00,307.94
359.91,360.00,313.16
359.91,360.00,313.16
359.52,360.00,317.56
359.20,360.00,319.73
358.92,360.00,321.22
358.41,360.00,323.50
357.91,360.00,325.28
357.32,360.00,327.05
356.84,360.00,328.32
356.06,360.00,330.13
356.06,360.00,330.13
356.06,360.00,330.13
353.89,360.00,334.47
352.10,360.00,336.89
352.10,360.00,336.89
350.84,360.00,338.43
349.60,360.00,339.97
348.93,360.00,340.79
348.13,360.00,341.78
348.13,360.00,341.78
346.72,360.00,344.04
346.54,360.00,344.53
346.29,360.00,345.45
346.29,360.00,345.45
346.29,360.00,345.45
346.13,360.00,347.32
346.39,360.00,347.98
346.39,360.00,347.98
